Rank,Finalworth,Category,Personname,Age,Birthyear,City,Source,Industries,Countryofcitizenship,Organization,Selfmade,Status,Gender,Title,State,Residencestateregion, CPI Country, CPI Change Country (%),GDP Country,Gross Tertiary Education Enrollment (%),Gross Primary Education Enrollment Country,Life Expectancy Country (%),Tax Revenue Country Country (%),Total Tax Rate Country (%),Population Country
51,27400,Automotive,Susanne Klatten,60,1962,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,-,FALSE,U,F,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
52,27000,Metals & Mining,Gina Rinehart,69,1954,Perth,Mining,Metals & Mining,Australia,Hancock Prospecting,FALSE,D,F,Executive Chairman,-,-,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605
53,26700,Technology,William Ding,51,1971,Hangzhou,Online games,Technology,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69,1953,Mexico City,Mining,Metals & Mining,Mexico,-,FALSE,D,M,-,-,-,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024
55,25600,Technology,Shiv Nadar,77,1945,Delhi,software services,Technology,India,-,TRUE,D,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
56,25500,Energy,Low Tuck Kwong,74,1948,Jakarta,Coal,Energy,Indonesia,-,TRUE,U,M,-,-,-,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917
57,25300,Finance & Investments,Thomas Peterffy,78,1944,Palm Beach,Discount brokerage,Finance & Investments,United States,-,TRUE,U,M,-,Florida,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
58,25200,Metals & Mining,Andrey Melnichenko & family,51,1972,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,-,TRUE,U,M,-,-,-,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529
59,24600,Automotive,Stefan Quandt,56,1966,Frankfurt,BMW,Automotive,Germany,-,FALSE,U,M,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
60,24400,Technology,MacKenzie Scott,52,1970,Seattle,Amazon,Technology,United States,-,FALSE,D,F,Philanthropist,Washington,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
61,24200,Finance & Investments,R. Budi Hartono,82,1941,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,-,FALSE,U,M,-,-,-,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917
62,23700,Metals & Mining,Vladimir Potanin,62,1961,Moscow,Metals,Metals & Mining,Russia,-,TRUE,U,M,-,-,-,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535
63,23500,Technology,Jack Ma,58,1964,Hangzhou,E-commerce,Technology,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
64,23400,Manufacturing,He Xiangjian & family,80,1942,Foshan,Home appliances,Manufacturing,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
65,23100,Metals & Mining,Iris Fontbona & family,80,1943,Santiago,Mining,Metals & Mining,Chile,-,FALSE,U,F,-,-,-,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80,18.2,34,18952038
65,23100,Manufacturing,Michael Hartono,83,1939,Kudus,"Banking, tobacco",Manufacturing,Indonesia,-,FALSE,U,M,-,-,-,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917
67,22900,Manufacturing,James Ratcliffe,70,1953,London,Chemicals,Manufacturing,United Kingdom,-,TRUE,U,M,-,-,-,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405
68,22600,Healthcare,Cyrus Poonawalla,81,1941,Pune,Vaccines,Healthcare,India,-,FALSE,D,M,-,-,-,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754
69,22400,Telecom,Masayoshi Son,65,1957,Tokyo,"Internet, telecom",Telecom,Japan,SoftBank Group Corp.,TRUE,U,M,CEO,-,-,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568
70,22100,Metals & Mining,Vladimir Lisin,66,1956,Moscow,"Steel, transport",Metals & Mining,Russia,-,TRUE,U,M,-,-,-,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535
71,22000,Food & Beverage,Emmanuel Besnier,52,1970,Laval,Cheese,Food & Beverage,France,-,FALSE,D,M,-,-,-,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887
72,21600,Finance & Investments,Abigail Johnson,61,1961,Milton,Fidelity,Finance & Investments,United States,Fidelity Investments,FALSE,U,F,CEO,Massachusetts,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
72,21600,Energy,Leonid Mikhelson & family,67,1955,Moscow,"Gas, chemicals",Energy,Russia,-,TRUE,U,M,-,-,-,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535
74,21200,Fashion & Retail,Lukas Walton,36,1986,Chicago,Walmart,Fashion & Retail,United States,-,FALSE,U,M,-,Illinois,Midwest,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
74,21200,Service,Wang Wei,52,1970,Shenzhen,Package delivery,Service,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
76,21100,Technology,Jensen Huang,60,1963,Los Altos,Semiconductors,Technology,United States,Nvidia,TRUE,U,M,CEO & President,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
77,21000,Fashion & Retail,Leonard Lauder,90,1933,New York,Estee Lauder,Fashion & Retail,United States,The Estée Lauder Companies,FALSE,D,M,Chairman Emeritus,New York,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
77,21000,Manufacturing,Takemitsu Takizaki,77,1945,Osaka,Sensors,Manufacturing,Japan,-,TRUE,D,M,-,-,-,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568
79,20900,Metals & Mining,Alexey Mordashov & family,57,1965,Moscow,"Steel, investments",Metals & Mining,Russia,-,TRUE,U,M,-,-,-,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535
80,20500,Energy,Vagit Alekperov,72,1950,Moscow,Oil,Energy,Russia,-,TRUE,U,M,-,-,-,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535
81,20200,Healthcare,"Thomas Frist, Jr. & family",84,1938,Nashville,Hospitals,Healthcare,United States,-,TRUE,D,M,-,Tennessee,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
82,19600,Metals & Mining,Andrew Forrest,61,1961,Perth,Mining,Metals & Mining,Australia,-,TRUE,U,M,-,-,-,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605
83,19100,Finance & Investments,Ray Dalio,73,1949,Greenwich,Hedge funds,Finance & Investments,United States,Bridgewater Associates,TRUE,D,M,Founder & Co-Chief Investment Officer,Connecticut,Northeast,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
84,19000,Automotive,Eric Li,59,1963,Hangzhou,Automobiles,Automotive,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
84,19000,Metals & Mining,Wang Wenyin,55,1968,Shenzhen,"Mining, copper products",Metals & Mining,China,-,TRUE,U,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
86,18900,Diversified,Eyal Ofer,72,1950,Monte Carlo,"Real estate, shipping",Diversified,Israel,-,FALSE,U,M,-,-,-,-,-,"$7,184,844,193 ",-,-,-,-,-,38964
86,18900,Food & Beverage,Qin Yinglin,57,1965,Nanyang,Pig breeding,Food & Beverage,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
88,18700,Automotive,Wang Chuanfu,57,1966,Shenzhen,"Batteries, automobiles",Automotive,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
89,18500,Energy,Harold Hamm & family,77,1945,Oklahoma City,Oil & gas,Energy,United States,Continental Resources Inc. ,TRUE,U,M,Chairman and CEO,Oklahoma,South,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
